"Year","Event","DataCards","Deaths","Houses.Ruined","Affected","Monetary.LossUSD","Event_Severity"
"1972","Intoxicación",3,16,0,0,0,7
"1972","LANDSLIDE",11,12,4,0,0,7
"1972","LEAK",1,0,0,0,0,10
"1972","Onda fría",1,6,0,0,0,9
"1972","PLAGUE",33,0,0,0,0,10
"1972","POLLUTION",7,15,0,0,0,7
"1972","Racionamiento",1,0,0,0,0,10
"1972","SNOWSTORM",2,0,0,0,0,10
"1972","SPATE",1,2,0,0,0,10
"1972","STORM",35,35,5520,3730,600000,2
"1972","STRONGWIND",4,3,170,680,0,9
"1972","STRUCTURE",4,6,2,200,900,9
"1972","SURGE",1,0,0,0,0,10
"1973","ACCIDENT",3,6,0,0,0,9
"1973","DROUGHT",54,0,0,0,0,10
"1973","EARTHQUAKE",39,1277,63285,80000,15000000,2
"1973","ELECTRICSTORM",2,1,0,0,0,10
"1973","EPIDEMIC",5,8,0,0,0,8
"1973","ERUPTION",11,30,1500,15000,0,3
"1973","EXPLOSION",9,27,5,0,15000,4
"1973","FIRE",13,4,72,100,0,9
"1973","FLOOD",114,128,43006,435740,8400000,1
"1973","FORESTFIRE",17,0,0,0,3000000,10
"1973","FROST",7,2,0,1500,18240000,10
"1973","HEATWAVE",7,142,0,0,0,1
"1973","Hundimiento",1,7,5,0,0,8
"1973","Intoxicación",2,41,0,0,0,1
"1973","LANDSLIDE",8,21,113,432,0,5
"1973","Onda fría",16,0,0,0,0,10
"1973","PLAGUE",15,0,0,0,0,10
"1973","POLLUTION",3,0,0,10000,0,10
"1973","RAIN",35,0,0,0,6000000,10
"1973","SNOWSTORM",23,38,0,0,0,2
"1973","SPATE",4,29,10007,200000,0,4
"1973","STORM",33,3,1815,6000,2160000,9
"1973","STRONGWIND",19,3,0,0,0,9
"1973","STRUCTURE",1,0,0,0,0,10
"1974","ACCIDENT",6,13,0,0,0,7
"1974","BIOLOGICAL",3,0,0,0,0,10
"1974","DROUGHT",185,0,0,0,0,10
"1974","EARTHQUAKE",1,0,0,0,0,10
"1974","ELECTRICSTORM",7,8,1,10000000,0,8
"1974","EPIDEMIC",31,24,0,0,0,5
"1974","ERUPTION",11,0,0,0,0,10
"1974","EXPLOSION",40,17,12,100,198000,6
"1974","FIRE",80,79,721,3208,43884390,1
"1974","FLOOD",84,1,3577,14720,186600,10
"1974","FORESTFIRE",10,0,1,0,180000,10
"1974","FROST",21,0,0,0,0,10
"1974","HAILSTORM",9,0,120,400,600000,10
"1974","HEATWAVE",12,20,0,0,0,6
"1974","Intoxicación",3,2,0,0,0,10
"1974","LANDSLIDE",43,11,14,0,0,8
"1974","LEAK",1,3,0,0,0,9
"1974","Onda fría",2,1,1,0,0,10
"1974","PANIC",6,2,0,0,0,10
"1974","PLAGUE",30,0,0,0,0,10
"1974","POLLUTION",7,0,0,164,0,10
"1974","Racionamiento",4,0,0,0,0,10
"1974","RAIN",65,15,10030,118120,9120000,7
"1974","SNOWSTORM",2,0,0,0,0,10
"1974","STORM",21,3,856,2850,18060000,9
"1974","STRONGWIND",2,0,0,0,0,10
"1974","STRUCTURE",17,10,38,84,9000,8
"1974","SURGE",1,4,0,0,18750,9
"1975","ACCIDENT",6,5,0,0,0,9
"1975","BIOLOGICAL",3,0,0,0,0,10
"1975","DROUGHT",114,0,0,250000,0,10
"1975","EARTHQUAKE",11,8,100,30,0,8
"1975","ELECTRICSTORM",3,3,0,0,0,9
"1975","EPIDEMIC",17,0,0,0,0,10
"1975","EXPLOSION",33,19,19,0,24120,6
"1975","FIRE",72,30,241,935,2086770,3
"1975","FLOOD",76,8,16843,50741,24000,8
"1975","FORESTFIRE",36,0,0,0,0,10
"1975","FROST",29,7,0,70039,0,8
"1975","HAILSTORM",8,0,0,0,6000,10
"1975","HEATWAVE",2,1,0,0,0,10
"1975","Intoxicación",5,6,0,0,0,9
"1975","LANDSLIDE",10,5,8,0,0,9
"1975","LEAK",2,0,0,0,0,10
"1975","Onda fría",19,15,0,0,0,7
"1975","PLAGUE",2,0,0,0,0,10
"1975","POLLUTION",7,15,0,90000,0,7
"1975","RAIN",7,26,10000,250000,6000000,4
"1975","SNOWSTORM",9,0,0,0,0,10
"1975","SPATE",3,27,920,3400,60000,4
"1975","STORM",11,1,300,0,3000,10
"1975","STRONGWIND",4,0,0,0,780000,10
"1975","STRUCTURE",10,11,17,33,30000,8
"1975","TORNADO",1,0,200,1000,0,10
"1976","BIOLOGICAL",2,0,0,0,0,10
"1976","DROUGHT",26,0,0,0,0,10
"1976","EARTHQUAKE",16,2,86,0,0,10
"1976","ELECTRICSTORM",2,2,0,0,0,10
"1976","EPIDEMIC",34,18,0,0,0,6
"1976","EXPLOSION",13,15,83,0,154800,7
"1976","FIRE",39,14,273,0,41512800,7
"1976","FLOOD",88,111,19981,329157,12000000,1
"1976","FORESTFIRE",13,1,0,0,150000,10
"1976","FROST",62,2,0,0,0,10
"1976","HAILSTORM",18,0,349,1470,180000,10
"1976","HEATWAVE",1,8,0,0,0,8
"1976","Intoxicación",2,2,0,0,0,10
"1976","LANDSLIDE",5,16,0,0,0,7
"1976","LEAK",1,2,0,0,0,10
"1976","Onda fría",18,0,0,0,0,10
"1976","PLAGUE",2,0,0,0,0,10
"1976","POLLUTION",13,0,0,0,0,10
"1976","RAIN",4,400,4000,15000,0,1
"1976","SNOWSTORM",8,4,0,0,0,9
"1976","SPATE",5,5,450,1800,0,9
"1976","STORM",28,9,918,3660,31500000,8
"1976","STRUCTURE",1,0,20,80,0,10
"1977","ACCIDENT",12,38,0,0,60000,2
"1977","BIOLOGICAL",5,0,0,0,120000,10
"1977","DROUGHT",27,0,0,0,0,10
"1977","EPIDEMIC",44,16,0,0,0,7
"1977","EXPLOSION",23,8,19,134,12429300,8
"1977","FIRE",66,24,113,2,23362320,5
"1977","FLOOD",40,31,15320,9945,0,3
"1977","FORESTFIRE",6,0,100,0,0,10
"1977","FROST",2,0,0,0,0,10
"1977","HAILSTORM",3,0,0,80,16320,10
"1977","HEATWAVE",5,43,0,0,0,1
"1977","Hundimiento",1,0,10,0,0,10
"1977","Intoxicación",3,3,0,0,0,9
"1977","LANDSLIDE",12,28,10,0,0,4
"1977","LEAK",2,2,0,0,0,10
"1977","Onda fría",2,23,0,0,0,5
"1977","PANIC",2,0,0,0,0,10
"1977","PLAGUE",10,0,0,0,30007800,10
"1977","POLLUTION",27,0,0,0,120000,10
"1977","Racionamiento",26,0,0,0,0,10
"1977","RAIN",49,5,0,1000,0,9
"1977","SNOWSTORM",3,0,0,0,0,10
"1977","STORM",26,2,240,1000,2418000,10
"1977","STRONGWIND",22,0,40,0,3015000,10
"1977","STRUCTURE",4,2,1,0,4800,10
"1977","SURGE",1,10,0,0,0,8
"1978","ACCIDENT",8,23,0,0,468000,5
"1978","BIOLOGICAL",7,0,0,0,0,10
"1978","DROUGHT",94,0,0,40000,0,10
"1978","EARTHQUAKE",3,1,23,0,0,10
"1978","ELECTRICSTORM",1,4,0,0,0,9
"1978","EPIDEMIC",9,406,0,0,0,1
"1978","EXPLOSION",22,56,24,0,1458000,1
"1978","FIRE",70,69,91,50882,42525420,1
"1978","FLOOD",52,58,20493,205250,9723600,1
"1978","FORESTFIRE",12,0,20,80,429000,10
"1978","FROST",14,5,0,0,21600,9
"1978","HAILSTORM",1,0,0,0,0,10
"1978","HEATWAVE",1,100,0,0,0,1
"1978","Intoxicación",15,21,0,0,0,5
"1978","LANDSLIDE",6,25,0,0,0,5
"1978","LEAK",2,0,0,0,0,10
"1978","Onda fría",3,28,0,0,0,4
"1978","PLAGUE",5,0,0,5000,37800,10
"1978","POLLUTION",4,31,0,0,371400,3
"1978","RAIN",9,1,400,1000,0,10
"1978","SNOWSTORM",12,0,0,0,45000,10
"1978","SPATE",2,11,0,0,0,8
"1978","STORM",15,14,1153,26960,300000,7
"1978","STRONGWIND",9,7,20,0,0,8
"1978","STRUCTURE",5,11,4,4,0,8
"1978","SURGE",32,0,0,0,0,10
"1979","ACCIDENT",13,121,3,365,0,1
"1979","BIOLOGICAL",5,6,0,20000,1260000,9
"1979","DROUGHT",67,0,32,528500,0,10
"1979","EARTHQUAKE",16,9,1938,66000,300000,8
"1979","ELECTRICSTORM",4,0,0,0,24000000,10
"1979","EPIDEMIC",54,0,0,0,0,10
"1979","EXPLOSION",23,23,4,207,3442800,5
"1979","FIRE",78,45,91,66033,54391200,1
"1979","FLOOD",83,98,17761,1347480,0,1
"1979","FORESTFIRE",22,5,0,1846,270000,9
"1979","FROST",46,4,0,48330,0,9
"1979","HAILSTORM",9,1,430,12500,60000,10
"1979","HEATWAVE",11,36,0,400000,0,2
"1979","Intoxicación",8,12,0,38,0,7
"1979","LANDSLIDE",11,27,160,100612,0,4
"1979","LEAK",16,10,0,31000,51302400,8
"1979","Onda fría",4,17,0,51,0,6
"1979","PLAGUE",22,0,0,0,27900000,10
"1979","POLLUTION",36,0,0,30000,2160000,10
"1979","Racionamiento",1,22,0,0,0,5
"1979","RAIN",7,12,33,1001,0,7
"1979","SNOWSTORM",25,24,7,16724,0,5
"1979","SPATE",3,8,0,100000,30000,8
"1979","STORM",5,10,27,60000,0,8
"1979","STRONGWIND",28,6,538,3000,150000,9
"1979","STRUCTURE",10,9,10,710,12000,8
"1979","SURGE",28,3,0,7,0,9
"1980","ACCIDENT",1,2,0,0,0,10
"1980","BIOLOGICAL",6,0,0,2000,0,10
"1980","DROUGHT",303,0,0,15750,0,10
"1980","EARTHQUAKE",12,129,10549,50000,0,1
"1980","ELECTRICSTORM",1,4,0,0,0,9
"1980","EPIDEMIC",18,0,0,0,420000,10
"1980","EXPLOSION",22,31,16,5450,9000000,3
"1980","FIRE",62,28,65,284,0,4
"1980","FLOOD",38,35,3364,134300,0,2
"1980","FORESTFIRE",5,0,0,0,0,10
"1980","FROST",14,13,0,38400,180000,7
"1980","HAILSTORM",3,0,0,7000,0,10
"1980","HEATWAVE",11,30,0,0,0,3
"1980","Intoxicación",10,32,0,0,0,3
"1980","LANDSLIDE",5,8,1,110,0,8
"1980","LEAK",4,0,0,7,0,10
"1980","PLAGUE",4,0,0,0,3000000,10
"1980","POLLUTION",2,0,0,0,0,10
"1980","RAIN",6,26,0,100000,30000,4
"1980","SNOWSTORM",2,0,0,33000,0,10
"1980","STORM",8,0,115,0,0,10
"1980","STRONGWIND",1,0,0,0,0,10
"1980","STRUCTURE",2,3,0,0,0,9
"1981","ACCIDENT",2,0,0,0,0,10
"1981","DROUGHT",8,0,0,175000,0,10
"1981","EARTHQUAKE",13,0,3140,1000242,0,10
"1981","EPIDEMIC",14,0,0,0,0,10
"1981","EXPLOSION",13,9,4,0,120000,8
"1981","FIRE",33,16,80,397,24204000,7
"1981","FLOOD",85,104,18484,1329966,56400000,1
"1981","FORESTFIRE",8,0,0,0,0,10
"1981","FROST",6,0,0,0,0,10
"1981","HAILSTORM",5,1,0,0,0,10
"1981","HEATWAVE",11,65,0,0,720000,1
"1981","Intoxicación",1,2,0,0,0,10
"1981","LEAK",3,3,0,300,0,9
"1981","PANIC",1,0,0,0,0,10
"1981","PLAGUE",17,0,0,5000,240000,10
"1981","POLLUTION",1,0,0,0,1800000,10
"1981","RAIN",1,0,0,0,0,10
"1981","SNOWSTORM",5,0,0,0,0,10
"1981","STORM",39,82,1409,60500,2100000,1
"1981","STRONGWIND",13,4,0,400,0,9
"1981","SURGE",4,0,100,600,0,10
"1982","ACCIDENT",3,124,0,0,13800000,1
"1982","BIOLOGICAL",4,0,0,0,0,10
"1982","DROUGHT",104,0,0,0,8880,10
"1982","EARTHQUAKE",17,6,292,24000,0,9
"1982","EPIDEMIC",29,15,0,0,0,7
"1982","ERUPTION",53,2028,16089,12165,0,3
"1982","EXPLOSION",17,40,27,0,0,1
"1982","FIRE",63,34,51,204,31010100,3
"1982","FLOOD",69,25,5713,1455000,3322200,5
"1982","FORESTFIRE",14,1,0,0,300000,10
"1982","FROST",10,10,0,21500,24000,8
"1982","HAILSTORM",2,2,0,6000,630000,10
"1982","HEATWAVE",25,123,0,0,186217,1
"1982","Hundimiento",1,0,0,0,0,10
"1982","Intoxicación",6,3,0,0,0,9
"1982","LANDSLIDE",4,29,23,1000,0,4
"1982","LEAK",1,0,0,0,0,10
"1982","PLAGUE",33,0,0,0,156003000,10
"1982","POLLUTION",31,0,0,0,0,10
"1982","RAIN",4,2,1,0,0,10
"1982","SNOWSTORM",6,9,0,0,0,8
"1982","SPATE",1,0,0,0,0,10
"1982","STORM",15,9,167,108400,0,8
"1982","STRONGWIND",3,0,0,0,0,10
"1982","STRUCTURE",6,16,0,0,0,7
"1982","SURGE",5,11,0,30000,1500000,8
"1983","ACCIDENT",5,12,0,0,480000,7
"1983","BIOLOGICAL",18,0,0,2000,6000000,10
"1983","DROUGHT",31,5,0,0,42000000,9
"1983","EARTHQUAKE",5,0,261,0,0,10
"1983","ELECTRICSTORM",1,2,0,0,0,10
"1983","EPIDEMIC",19,19,0,0,0,6
"1983","EXPLOSION",29,96,350,10,2130000,1
"1983","FIRE",55,12,157,519,0,7
"1983","FLOOD",80,25,3734,178588,0,5
"1983","FORESTFIRE",20,0,510,5600,6000000,10
"1983","FROST",8,11,0,0,27000000,8
"1983","HAILSTORM",5,0,101,0,0,10
"1983","HEATWAVE",18,72,0,0,0,1
"1983","Intoxicación",5,6,0,0,0,9
"1983","LANDSLIDE",7,16,816,300,360000,7
"1983","LEAK",6,11,0,25000,0,8
"1983","Onda fría",2,10,0,0,0,8
"1983","PLAGUE",37,0,0,700,0,10
"1983","POLLUTION",8,0,0,4,0,10
"1983","RAIN",22,10,1317,1865000,0,8
"1983","SNOWSTORM",29,7,0,1500,24000,8
"1983","STORM",24,9,147,2230,0,8
"1983","STRONGWIND",39,12,334,21328,1362000,7
"1983","STRUCTURE",2,2,0,0,1800000,10
"1983","SURGE",5,4,1,500000,0,9
"1984","ACCIDENT",2,14,0,0,0,7
"1984","BIOLOGICAL",1,0,0,0,31320000,10
"1984","DROUGHT",3,0,0,2000,34740000,10
"1984","EARTHQUAKE",3,0,2000,0,0,10
"1984","ELECTRICSTORM",1,6,0,0,0,9
"1984","EPIDEMIC",4,3,0,0,0,9
"1984","EXPLOSION",20,19,22,0,7800000,6
"1984","FIRE",76,570,2164,531971,0,1
"1984","FLOOD",86,88,12333,107920,45420000,1
"1984","FORESTFIRE",15,2,80,0,18000000,10
"1984","FROST",5,7,0,0,576000,8
"1984","HEATWAVE",22,1,0,0,18000000,10
"1984","Intoxicación",7,26,0,0,0,4
"1984","LANDSLIDE",7,9,7121,35120,0,8
"1984","LEAK",5,8,0,10007,0,8
"1984","PLAGUE",21,0,0,0,25200000,10
"1984","POLLUTION",3,0,0,0,30000000,10
"1984","RAIN",23,8,4,12,0,8
"1984","SNOWSTORM",4,10,4,0,3600000,8
"1984","STORM",8,2,233,80,2100000,10
"1984","STRONGWIND",10,2,18,40,6600000,10
"1984","STRUCTURE",2,1,0,0,0,10
"1985","ACCIDENT",4,5,0,0,0,9
"1985","BIOLOGICAL",3,0,0,0,0,10
"1985","DROUGHT",11,27,0,0,0,4
"1985","EARTHQUAKE",24,10057,157420,255600,34200000,10
"1985","EXPLOSION",14,24,8,41,56100000,5
"1985","FIRE",23,9,47,92,9190860,8
"1985","FLOOD",23,3,11321,335000,9000000,9
"1985","FORESTFIRE",1,0,0,0,0,10
"1985","FROST",8,2,0,0,0,10
"1985","HAILSTORM",3,0,1,0,0,10
"1985","Hambruna",2,0,0,500000,0,10
"1985","HEATWAVE",2,0,0,0,0,10
"1985","Intoxicación",7,8,0,0,0,8
"1985","LANDSLIDE",3,9,1,0,0,8
"1985","PANIC",7,8,0,0,0,8
"1985","PLAGUE",2,0,0,0,0,10
"1985","POLLUTION",2,0,0,200,0,10
"1985","Racionamiento",1,0,0,185000,0,10
"1985","RAIN",1,0,0,0,0,10
"1985","SNOWSTORM",4,7,0,7,0,8
"1985","STORM",3,0,0,0,0,10
"1985","STRONGWIND",10,0,0,0,0,10
"1985","TSUNAMI",2,0,0,0,0,10
"1986","ACCIDENT",4,201,0,0,0,1
"1986","DROUGHT",27,0,0,100000,1600000,10
"1986","EARTHQUAKE",3,0,0,0,0,10
"1986","EPIDEMIC",22,0,0,20000,0,10
"1986","EXPLOSION",29,33,6,0,9000000,3
"1986","FIRE",45,50,172,205,506300000,1
"1986","FLOOD",49,40,3377,210748,0,1
"1986","FORESTFIRE",5,9,0,0,30000000,8
"1986","FROST",10,16,0,0,0,7
"1986","HAILSTORM",2,0,0,0,0,10
"1986","Hambruna",2,0,0,0,0,10
"1986","HEATWAVE",1,3,0,0,0,9
"1986","Hundimiento",5,0,30,600,0,10
"1986","Intoxicación",8,8,0,1,0,8
"1986","LANDSLIDE",4,2,3,0,42000000,10
"1986","LEAK",3,0,0,0,0,10
"1986","Onda fría",1,0,0,0,0,10
"1986","PLAGUE",4,0,0,0,0,10
"1986","POLLUTION",2,0,0,0,0,10
"1986","Racionamiento",1,0,0,300000,0,10
"1986","RAIN",6,9,72,4000,0,8
"1986","SNOWSTORM",8,0,0,5000,0,10
"1986","STORM",10,0,1180,17000,6001200,10
"1986","STRUCTURE",2,3,0,0,0,9
"1986","SURGE",1,0,0,0,0,10
"1987","ACCIDENT",6,100,0,0,0,1
"1987","BIOLOGICAL",2,0,0,0,18000000,10
"1987","DROUGHT",18,12,0,77000,33000000,7
"1987","EARTHQUAKE",1,0,0,800,0,10
"1987","ELECTRICSTORM",1,0,0,0,0,10
"1987","EPIDEMIC",5,79,0,0,0,1
"1987","EXPLOSION",18,16,10,0,30000000,7
"1987","FIRE",24,10,9,0,0,8
"1987","FLOOD",27,29,1502,9700,9000000,4
"1987","FORESTFIRE",7,0,0,0,33000000,10
"1987","FROST",37,22,0,4000,13,5
"1987","HAILSTORM",9,13,2,4000,0,7
"1987","HEATWAVE",2,10,0,0,0,8
"1987","Intoxicación",3,8,0,0,0,8
"1987","LANDSLIDE",6,4,1,0,420000,9
"1987","LEAK",2,5,0,500,0,9
"1987","PLAGUE",1,0,0,0,0,10
"1987","RAIN",6,0,202,8004,0,10
"1987","SNOWSTORM",6,13,0,0,0,7
"1987","STORM",12,2,503,4500,9000000,10
"1987","STRONGWIND",1,0,0,0,0,10
"1987","STRUCTURE",1,4,0,0,0,9
"1988","ACCIDENT",6,40,0,0,0,1
"1988","BIOLOGICAL",1,0,0,0,0,10
"1988","DROUGHT",15,0,0,0,0,10
"1988","EPIDEMIC",8,30,0,0,0,3
"1988","EXPLOSION",17,140,26,0,9000000,1
"1988","FIRE",33,35,35,50,0,2
"1988","FLOOD",101,88,11584,942086,2,1
"1988","FORESTFIRE",24,5,0,0,0,9
"1988","FROST",16,71,0,0,0,1
"1988","Hambruna",1,60,0,0,0,1
"1988","HEATWAVE",3,8,0,0,0,8
"1988","Intoxicación",1,0,0,0,0,10
"1988","LANDSLIDE",7,23,5,0,0,5
"1988","LEAK",4,0,0,285,0,10
"1988","Racionamiento",1,0,0,13000,0,10
"1988","RAIN",94,214,111800,968500,28,1
"1988","SNOWSTORM",2,9,0,0,0,8
"1988","STORM",9,3,6,10000,138000,9
"1988","STRONGWIND",14,31,0,0,100000000,3
"1988","STRUCTURE",1,16,0,0,0,7
"1989","ACCIDENT",2,101,0,0,0,1
"1989","DROUGHT",13,2,0,500000,0,10
"1989","EARTHQUAKE",16,2,0,0,0,10
"1989","EPIDEMIC",12,190,0,0,0,1
"1989","EXPLOSION",9,13,11,0,21000000,7
"1989","FIRE",37,17,50,9,30000000,6
"1989","FLOOD",51,16,21424,720180,0,7
"1989","FORESTFIRE",14,0,0,0,0,10
"1989","FROST",26,44,0,0,4,1
"1989","HAILSTORM",5,0,100,200,0,10
"1989","HEATWAVE",3,22,0,0,0,5
"1989","Hundimiento",2,0,17,68,0,10
"1989","LANDSLIDE",4,8,0,0,0,8
"1989","LEAK",4,4,0,250,0,9
"1989","Onda fría",1,2,0,0,0,10
"1989","PLAGUE",2,0,0,30,0,10
"1989","Racionamiento",4,0,0,690000,0,10
"1989","RAIN",6,1,156,7800,0,10
"1989","STORM",9,24,2102,11300,12000000,5
"1989","STRONGWIND",4,4,15,0,0,9
"1989","STRUCTURE",1,12,0,0,0,7
"1990","ACCIDENT",4,31,0,0,0,3
"1990","ALLUVION",1,0,0,22000,0,10
"1990","BIOLOGICAL",1,0,0,0,0,10
"1990","DROUGHT",1,0,0,0,0,10
"1990","EARTHQUAKE",1,0,0,0,0,10
"1990","ELECTRICSTORM",1,2,0,0,0,10
"1990","EPIDEMIC",30,461,0,0,0,1
"1990","EXPLOSION",15,28,64,0,0,4
"1990","FIRE",34,16,701,447,22800000,7
"1990","FLOOD",76,232,4848,275172,240000,1
"1990","FORESTFIRE",14,0,0,0,0,10
"1990","FROST",3,9,0,0,0,8
"1990","HAILSTORM",2,0,50,1000,0,10
"1990","HEATWAVE",6,7,0,0,0,8
"1990","Intoxicación",3,8,0,0,0,8
"1990","LANDSLIDE",7,20,29,350252,0,6
"1990","LEAK",16,4,0,248,0,9
"1990","Onda fría",1,1,0,0,0,10
"1990","PLAGUE",1,0,0,0,0,10
"1990","POLLUTION",31,0,0,200000,0,10
"1990","RAIN",11,357,225,160000,0,1
"1990","STORM",40,75,745,106930,12000000,1
"1990","STRONGWIND",11,0,10,0,0,10
"1990","STRUCTURE",2,0,13,0,0,10
"1990","SURGE",1,0,0,1500,0,10
"1991","ACCIDENT",10,22,0,0,0,5
"1991","BIOLOGICAL",1,0,0,0,0,10
"1991","EARTHQUAKE",7,0,57,0,0,10
"1991","ELECTRICSTORM",2,2,0,0,0,10
"1991","EPIDEMIC",213,158,0,27,0,1
"1991","ERUPTION",2,0,0,0,0,10
"1991","EXPLOSION",9,6,40,1513,0,9
"1991","FIRE",27,47,878,323,1067100,1
"1991","FLOOD",229,194,32356,360631,0,1
"1991","FORESTFIRE",69,3,0,0,67860,9
"1991","FROST",5,30,0,0,0,3
"1991","HAILSTORM",2,0,100,500,0,10
"1991","HEATWAVE",1,4,0,0,0,9
"1991","Intoxicación",2,3,0,0,0,9
"1991","LANDSLIDE",17,36,61,517,0,2
"1991","LEAK",12,14,0,1500,0,7
"1991","Onda fría",1,5,0,0,0,9
"1991","PANIC",1,42,0,0,0,1
"1991","PLAGUE",10,3,0,20,0,9
"1991","POLLUTION",120,1,0,172,42000000,10
"1991","RAIN",17,18,17470,97200,33600000,6
"1991","STORM",15,6,497,2575,14414400,9
"1991","STRONGWIND",16,0,0,0,0,10
"1992","ACCIDENT",13,17,0,0,0,6
"1992","BIOLOGICAL",4,0,0,300,0,10
"1992","DROUGHT",5,3,0,0,0,9
"1992","EARTHQUAKE",6,0,0,0,0,10
"1992","ELECTRICSTORM",7,12,0,0,0,7
"1992","EPIDEMIC",134,190,0,12809,0,1
"1992","EXPLOSION",33,224,1289,16484,1000000000,1
"1992","FIRE",38,8,262,2104,2,8
"1992","FLOOD",169,31,21469,1668365,0,3
"1992","FORESTFIRE",9,0,0,0,0,10
"1992","FROST",19,124,0,230,0,1
"1992","HAILSTORM",41,9,3604,10224,0,8
"1992","HEATWAVE",4,11,0,0,0,8
"1992","Hundimiento",1,0,0,0,0,10
"1992","Intoxicación",9,2,0,0,0,10
"1992","LANDSLIDE",24,14,142,2694,0,7
"1992","LEAK",31,12,0,2902,0,7
"1992","Onda fría",9,51,0,40000,0,1
"1992","PLAGUE",3,1,0,60,0,10
"1992","POLLUTION",3,2,0,0,0,10
"1992","RAIN",23,8,4916,22375,0,8
"1992","SNOWSTORM",19,63,2349,19252,0,1
"1992","STORM",93,20,5613,26350,0,6
"1992","STRONGWIND",19,6,606,400,0,9
"1992","SURGE",1,0,0,200,0,10
"1993","ACCIDENT",6,32,0,0,0,3
"1993","ALLUVION",2,12,12,7,0,7
"1993","BIOLOGICAL",3,0,0,600,0,10
"1993","DROUGHT",54,3,0,24000,0,9
"1993","EPIDEMIC",241,397,0,40000,0,1
