"Year","Event","DataCards","Deaths","Houses.Ruined","Affected","Monetary.LossUSD","Event_Severity"
"1966","FIRE",24,2,133,1201,21809,4
"1966","FLOOD",2,20,1,0,0,2
"1966","PLAGUE",1,0,0,0,0,10
"1966","SURGE",1,0,8,0,0,10
"1967","ACCIDENT",1,0,0,0,0,10
"1967","DROUGHT",1,0,0,0,0,10
"1967","EPIDEMIC",4,3,0,0,0,1
"1967","EXPLOSION",3,2,3,0,0,4
"1967","FIRE",8,0,3,72,8279,10
"1967","FLOOD",1,0,0,0,0,10
"1967","FORESTFIRE",2,0,0,0,0,10
"1967","HAILSTORM",1,0,20,0,0,10
"1967","Intoxicación",2,26,0,0,0,3
"1967","PLAGUE",2,0,0,0,0,10
"1967","STRONGWIND",1,0,20,150,170,10
"1967","STRUCTURE",1,0,2,0,0,10
"1968","ACCIDENT",3,4,0,3,0,1
"1968","DROUGHT",17,0,0,83500,0,10
"1968","ELECTRICSTORM",1,2,1,0,0,4
"1968","EPIDEMIC",5,9,0,0,0,1
"1968","EXPLOSION",6,2,0,0,0,4
"1968","FIRE",20,3,59,327,1905,1
"1968","FLOOD",10,24,100,542,68,3
"1968","FORESTFIRE",10,0,0,0,0,10
"1968","Intoxicación",5,6,0,0,0,1
"1968","OTHER",1,0,0,0,0,10
"1968","PLAGUE",16,0,0,0,59500,10
"1968","POLLUTION",1,0,0,0,0,10
"1968","RAIN",1,0,0,0,17,10
"1968","STRONGWIND",5,2,54,60,17170,4
"1968","SURGE",1,0,0,0,0,10
"1969","ACCIDENT",1,0,0,0,0,10
"1969","DROUGHT",1,0,0,0,0,10
"1969","FIRE",1,0,1,0,0,10
"1969","PLAGUE",1,0,0,0,0,10
"1970","ACCIDENT",1,1,0,0,0,7
"1970","EPIDEMIC",5,111,0,0,0,10
"1970","FIRE",25,2,31,0,4721,4
"1970","FLOOD",25,0,1013,5000,3400,10
"1970","Intoxicación",1,0,0,0,0,10
"1970","LANDSLIDE",2,0,0,0,0,10
"1970","POLLUTION",1,0,0,0,0,10
"1970","RAIN",1,0,0,0,0,10
"1970","STRONGWIND",8,0,12,0,0,10
"1971","EPIDEMIC",1,0,0,0,0,10
"1971","FIRE",11,3,16,0,5491,1
"1971","FLOOD",4,2,0,0,0,4
"1971","PLAGUE",1,0,0,0,170,10
"1971","RAIN",1,0,0,0,0,10
"1972","AVALANCHE",1,2,0,0,0,4
"1972","DROUGHT",2,0,0,0,17000,10
"1972","EPIDEMIC",2,0,0,0,0,10
"1972","FIRE",20,2,152,0,17358,4
"1972","FLOOD",11,13,0,0,35700,2
"1972","PLAGUE",3,0,0,0,0,10
"1972","SPATE",1,0,0,0,8500,10
"1973","ACCIDENT",1,5,0,0,0,1
"1973","FIRE",9,1,15,0,2623,7
"1973","FLOOD",1,0,0,0,0,10
"1973","HAILSTORM",1,0,0,0,0,10
"1973","STRONGWIND",1,0,3,0,0,10
"1974","ACCIDENT",2,1,0,0,0,7
"1974","DROUGHT",1,0,0,0,0,10
"1974","EXPLOSION",4,0,1,0,0,10
"1974","FIRE",6,1,1,0,1581,7
"1974","FLOOD",3,0,13,100,3400,10
"1974","RAIN",1,1,0,0,0,7
"1974","STRONGWIND",1,0,0,0,0,10
"1975","DROUGHT",13,0,0,0,1224000,10
"1975","EPIDEMIC",19,29,0,0,0,3
"1975","EXPLOSION",1,1,0,0,0,7
"1975","FIRE",26,6,60,0,84911,1
"1975","FLOOD",55,10,335,0,188020,2
"1975","FORESTFIRE",4,0,0,0,0,10
"1975","HAILSTORM",1,0,0,0,0,10
"1975","Intoxicación",3,2,0,0,0,4
"1975","OTHER",1,0,0,0,0,10
"1975","PLAGUE",7,0,0,0,0,10
"1975","RAIN",1,0,0,0,0,10
"1975","STORM",2,1,1,0,0,7
"1975","STRONGWIND",2,0,0,0,0,10
"1975","SURGE",1,0,3,0,68,10
"1976","DROUGHT",2,0,0,0,0,10
"1976","EPIDEMIC",2,0,0,0,0,10
"1976","EXPLOSION",1,1,0,0,0,7
"1976","FIRE",5,0,22,17,745,10
"1976","Intoxicación",2,0,0,0,0,10
"1976","PLAGUE",3,0,0,3000,1700,10
"1976","POLLUTION",1,0,0,0,0,10
"1976","RAIN",1,0,0,0,0,10
